time,loop_dt,x,y,z,vx,vy,vz,pitch,roll,yaw,pid_x,pid_y,pid_z,rc_lr,rc_fb,rc_ud,rc_yaw,tof_cm,barometer_m,height_cm,agx,agy,agz,vel_raw_x,vel_raw_y,vel_raw_z,pitch_raw,roll_raw,yaw_raw,battery:
1765315464.182452,0.0,0.01919722080230713,0.008172910213470457,1.117963255133987,0.01,0.01,0.0,1,-1,0,-0.9675645075354851,-0.4949688369869745,40,-0.9675645075354851,-0.4949688369869745,40,0,86,15966.999999999998,60,-29.0,-3.0,-1061.0,1,1,0,1,-1,0,75
1765315464.2231305,0.0,0.019604005813598634,0.00857969522476196,1.0353889765399416,0.01,0.01,0.0,1,-1,0,-0.9840305027212248,-0.5304087803697409,29.883945808884548,-0.9840305027212248,-0.5304087803697409,29.883945808884548,0,86,15966.999999999998,60,-29.0,-3.0,-1061.0,1,1,0,1,-1,0,75
1765315464.2646413,0.0,0.020019114017486572,0.0089948034286499,2.5471166929619824,0.01,0.01,0.0,0,-1,0,-1.0007126687703745,-0.5546805256977008,-40,-1.0007126687703745,-0.5546805256977008,-40,0,85,15978.0,60,7.0,2.0,-980.0,1,1,0,0,-1,0,75
1765315464.3060296,0.0,0.02043299674987793,0.009408686161041256,3.0006350078885946,0.01,0.01,0.0,0,-1,0,-1.0172991132234817,-0.574302801862332,-40,-1.0172991132234817,-0.574302801862332,-40,0,85,15978.0,60,7.0,2.0,-980.0,1,1,0,0,-1,0,75
1765315464.3467894,0.0,0.02084059476852417,0.009816284179687496,2.5766905023665787,0.01,0.01,0.0,0,-1,0,-1.033615488032312,-0.5918335093557723,-13.584730991957777,-1.033615488032312,-0.5918335093557723,-13.584730991957777,0,85,15974.0,60,2.0,-7.0,-1029.0,1,1,0,0,-1,0,75
1765315464.3871593,0.0,0.0212442946434021,0.010219984054565425,2.449507150709974,0.01,0.01,0.0,0,-1,0,-1.0497684646526226,-0.6084722190499258,-8.552317055099987,-1.0497684646526226,-0.6084722190499258,-8.552317055099987,0,85,15974.0,60,2.0,-7.0,-1029.0,1,1,0,0,-1,0,75
1765315464.4277847,0.0,0.021650547981262206,0.010626237392425531,2.4113521452129927,0.01,0.01,0.0,0,-1,0,-1.0660205908171034,-0.6249186384439446,-22.5213481859741,-1.0660205908171034,-0.6249186384439446,-22.5213481859741,0,85,15974.0,60,2.0,-7.0,-1029.0,1,1,0,0,-1,0,75
1765315464.4683022,0.0,0.022055723667144773,0.0110314130783081,1.4199056435636432,0.01,0.01,0.0,0,-1,0,-1.0822284153124364,-0.6412041802310934,40,-1.0822284153124364,-0.6412041802310934,40,0,85,15966.999999999998,60,-38.0,0.0,-1011.0,1,1,0,0,-1,0,75
1765315464.5087836,0.0,0.022460536956787108,0.011436226367950435,1.1224716930688383,0.01,0.01,0.0,0,-1,0,-1.0984212657221428,-0.6574281175575254,40,-1.0984212657221428,-0.6574281175575254,40,0,85,15966.999999999998,60,-38.0,0.0,-1011.0,1,1,0,0,-1,0,75
1765315464.549315,0.0,0.022865850925445554,0.011841540336608882,1.8697415079203967,0.01,0.01,0.0,0,-1,0,-1.1146339519980852,-0.6736532386001586,-40,-1.1146339519980852,-0.6736532386001586,-40,0,84,15972.999999999998,60,-45.0,-27.0,-965.0,1,1,0,0,-1,0,75
